Name, Date, City, State, Reason
 Lewis Bankhead, July 6,Cooper,Ala.,RAPE
 Robert Mosely, Nov. 14,Dolinite,Ala.,RAPE
 Samuel Smith,Jan. 9,Greenville,Ala.,MURDER
 Edward White, June 28,Hudson,Ala.,ATTEMPTED RAPE
 WilliamLewis, April 14,Lanison,Ala.,MURDER
 Oliver Jackson, March 29,Montgomery,Ala.,MURDER
 John Brownlee,July 19,Oxford,Ala.,POLITICAL CAUSES
 Thomas Black,April 22,Tuscumbia,Ala.,BARN BURNING
 John Williams, April 22,Tuscumbia,Ala.,BARN BURNING
 Toney Johnson, April 22,Tuscumbia,Ala.,BARN BURNING
 Negro,April 5,near Selma,Ala.,ALLEGED MURDER
 Negro, April 5,near Selma,Ala.,ALLEGED MURDER
 William Brooks,May 23,Galesline,Ark.,ASKING WHITE WOMAN TO MARRY HIM
 HenryBruce, Feb. 7,Gulch Co.,Ark.,MURDER
 James Perry,June 10,Knoxville,Ark.,INTRODUCING SMALLPOX
 Alfred Davis,Jan. 5,Live Oak County,Ark.,STEALING
 Henry Capus,June 22,Magnolia,Ark.,RAPE
 Luke Washington, Sept. 22,Meghee,Ark.,MURDER
 Richard Washington, Sept. 22,Meghee,Ark.,MURDER
 HenryCrobyson, Sept. 22,Meghee,Ark.,MURDER
 unknown woman, March 6,nearMarche,Ark.,UNKNOWN OFFENSES
 unknown, Dec. 18,MarionCounty,Fla.,RAPE
 Charles Willis,Jan. 14,Ocala,Fla.,DESPERADO
 Nim Young, May 15,Ocala,Fla.,RAPE
 William Jackson, Dec. 4,Ocala,Fla.,RAPE
 J.T. Burgis,May 29,Palatka,Fla.,CONSPIRACY
 Coat Williams, May 15,Pine Grove,Fla.,MURDER
 James Smith, Sept. 14,Stark,Fla.,ATTEMPTED RAPE
 ---- Collins,Feb. 10,Athens,Ga.,ENTICING SERVANT AWAY
 David Gooseby, Sept. 19,Atlanta,Ga.,RAPE
 unknown,June 13,Blackshear,Ga.,RAPE
 Harry Sherard, Dec. 22,Brooks County,Ga.,MURDER
 Samuel Taylor, Dec. 23,Brooks County,Ga.,MURDER
 Charles Frazier, Dec. 23,Brooks County,Ga.,MURDER
 Samuel Pike, Dec. 23,Brooks County,Ga.,MURDER
unknown Negro, Dec. 23,Brooks County,Ga.,MURDER
 unknown Negro, Dec. 23,Brooks County,Ga.,MURDER
 unknown Negro, Dec. 23,Brooks County,Ga.,MURDER
 Alfred Brenn, April 14,Calhoun,Ga.,UNKNOWN OFFENSES
 Sylvester Rhodes, March 5,Collins,Ga.,MURDER
 unknown,June 3,Dublin,Ga.,HIGHWAY ROBBERY
 Owen Opliltree, June 18,Forsyth,Ga.,RAPE
 Daniel Ahren, April 6,Greensboro,Ga.,RAPE
 Robert Evarts, April 26,Jamaica,Ga.,RAPE
 Lee Lawrence, Nov. 8,Jasper County,Ga.,RAPE
 unknown, May 22,Miller County,Ga.,RAPE
 Fayette Franklin, June 28,Mitchell,Ga.,RAPE
 Sherman Wagoner, Jan. 11,Mitchell,Ind.,MURDER
 Jefferson Luggle, April 23,Cherokee,Kan.,MURDER
 Marshall Boston, Aug. 14,Frankfort,Ky,RAPE
 WillisGriffey, Oct. 15,Princeton,Ky,RAPE
 Gabe Nalls,Nov. 8,Blackford,Ky.,INCENDIARISM
 Ulysses Nails, Nov. 8,Blackford,Ky.,INCENDIARISM
 Caleb Godly, June 26,Bowling Green,Ky.,RAPE
 William Tyler, July 26,Carlisle,Ky.,ATTEMPTED RAPE
 Lentige,March 2,Harland County,Ky.,KIDNAPPING
 M.G. Cambell, Jan. 21,JellicoMines,Ky.,RAPE
 Archie Haynes,June 20,Mason County,Ky.,HORSE STEALING
 William Haynes, June 20,Mason County,Ky.,HORSE STEALING
 Burt Haynes, June 20,MasonCounty,Ky.,HORSE STEALING
 MarionHoward, July 16,Scottsville,Ky.,RAPE
 unknown,Jan. 18,Bayou Sarah,La.,SUSPECTED INCENDIARISM
 Mark Jacobs,June 10,Bienville,La.,RACE PREJUDICE
Robert Williams, Sept. 14,Concordia Parish,La.,MURDER
 Thondo Underwood, June 4,Monroe,La.,MURDER
 J.H. Dave,June 14,Monroe,La.,SUSPECTED ARSON
 Scott Sherman,Dec. 28,Morehouse Parish,La.,NO OFFENSE
 Vance McClure, July 26,New Iberia,La.,ATTEMPTED RAPE
 George King,Dec. 23,New Orleans,La.,ASSAULT
 Samuel Slaugate, April23,Tallulah,La.,MURDER
 Thomas Claxton, April 23,Tallulah,La.,MURDER
 David Hawkins, April 23,Tallulah,La.,MURDER
 Thel Claxton, April 27,Tallulah,La.,MURDER
 Comp Claxton, April 27,Tallulah,La.,MURDER
 ScotHarvey, April 27,Tallulah,La.,MURDER
 Jerry McCly, April 27,Tallulah,La.,MURDER
 ---- Williams, Oct. 20,UpperMarlboro,Md.,ATTEMPTED RAPE
 ---- Hood, July 6,Amite,Miss.,MURDER
 Luke Thomas, June 15,Biloxi,Miss.,MURDER
 unknown Negro,July 14,Biloxi,Miss.,ATTEMPTED RAPE
George Linton, June 28,Brookhaven,Miss.,ATTEMPTED RAPE
 Henry Smith,May 29,Clinton,Miss.,BURGLARY
 William James, May 29,Clinton,Miss.,BURGLARY
 ---- Saybrick, March 30,Fisher's Ferry,Miss.,MURDER
 George Pond,July 6,Fulton,Miss.,ATTEMPTED RAPE
 Lewis Williams, June 9,Hewett Springs,Miss.,ATTEMPTED RAPE
 Allen Myers,July 20,Rankin County,Miss.,CONJURING
 unknown woman, July 24,SampsonCounty,Miss.,RACE PREJUDICE
